id,type,mode,workdir,command,raw_tok,rtk_tok,prism_tok,raw_bytes,rtk_bytes,prism_bytes,raw_lines,rtk_lines,prism_lines,raw_ms,rtk_ms,prism_ms,rtk_pct,prism_pct,rtk_exit,prism_exit
165,net,cmd,prism,"curl -s https://example.com",162,162,35,559,559,181,1,1,3,199,216,858,0.0,78.4,0,0
166,net,cmd,prism,"curl -s -X POST http://127.0.0.1:27182/ -H content-type:application/json -d {jsonrpc:2.0,id:1,method:tools/list}",0,4,0,0,14,0,0,1,0,19,24,715,0.0,0.0,7,7
167,net,cmd,prism,"wget -q -O - http://127.0.0.1:27182/health",0,0,0,0,0,0,0,0,0,15,73,744,0.0,0.0,4,4
168,net,cmd,tmp,"wget -O /tmp/prism_bench_example.html https://example.com",193,17,37,536,54,165,11,1,3,307,288,1095,91.2,80.8,0,0
169,net,cmd,prism,"wget --spider https://example.com",157,157,46,480,480,215,9,9,4,305,429,987,0.0,70.7,0,0
170,net,cmd,prism,"ping -c 3 127.0.0.1",164,59,58,368,147,129,8,3,2,2057,2185,2974,64.0,64.6,0,0
171,net,cmd,prism,"ping -c 2 -W 1 8.8.8.8",138,59,58,304,149,130,7,3,2,1059,1184,1706,57.2,58.0,0,0
172,sys,cmd,prism,"ps aux",26575,1188,2159,64027,2632,5380,450,32,44,65,156,848,95.5,91.9,0,0
173,sys,cmd,prism,"ps -ef",20864,854,1218,56286,2178,2791,448,32,44,46,122,662,95.9,94.2,0,0
174,sys,cmd,prism,"ps -eo pid,ppid,rss,cmd --sort=-rss",15037,993,1384,41752,3028,4312,441,32,44,38,131,635,93.4,90.8,0,0
175,sys,cmd,prism,"ss -tulpn",1902,1902,1569,6262,6262,2621,62,62,62,77,166,989,0.0,17.5,0,0
176,sys,cmd,prism,"ss -tan",3425,3425,3094,11125,11125,4852,89,89,89,26,126,634,0.0,9.7,0,0
177,sys,cmd,prism,"df -h",245,245,76,440,440,156,9,9,4,10,106,644,0.0,69.0,0,0
178,sys,cmd,prism,"df -i",214,214,71,521,521,162,9,9,4,10,76,687,0.0,66.8,0,0
179,sys,cmd,learn,"du -h --max-depth=1 prism",80,80,80,197,197,197,11,11,11,1141,202,1226,0.0,0.0,0,0
180,sys,cmd,prism,"free -h",70,70,64,207,207,131,3,3,2,12,75,1108,0.0,8.6,0,0
181,sys,cmd,prism,"free -m",55,55,49,207,207,123,3,3,2,9,86,1153,0.0,10.9,0,0
182,sys,cmd,prism,"systemctl --user list-units --type=service --no-pager",908,908,746,5487,5487,4102,54,54,48,27,133,669,0.0,17.8,0,0
183,sys,cmd,prism,"systemctl status --no-pager docker",1304,1029,1015,3379,2694,2392,24,22,19,170,138,881,21.1,22.2,0,0
184,sys,cmd,prism,"systemctl list-units --type=service --state=running --no-pager",886,886,739,4928,4928,3884,62,62,57,17,80,629,0.0,16.6,0,0
185,sys,cmd,prism,"journalctl --user -n 100 --no-pager",4660,4660,3360,12253,12253,9623,100,100,100,169,133,1275,0.0,27.9,0,0
186,sys,cmd,prism,"journalctl -n 50 --no-pager",3204,3204,2453,7401,7401,5886,50,50,48,198,147,668,0.0,23.4,0,0
187,sys,cmd,prism,"man -P cat ls",2032,2032,1582,8383,8383,5907,249,249,157,110,152,849,0.0,22.1,0,0
188,sys,cmd,prism,"man -P cat grep",7969,7969,4630,34509,34509,20062,647,647,402,83,158,723,0.0,41.9,0,0
189,sys,cmd,prism,"env",1860,688,1314,5369,1885,3759,100,53,100,8,22,713,63.0,29.4,0,0
190,sys,cmd,prism,"printenv",1860,1860,1314,5369,5369,3759,100,100,100,9,88,1002,0.0,29.4,0,0
